# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but come readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
# COUSINS.V is a copy of JOHNSON.V
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#photband               eff_wave type    vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units  Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#<S50                        >f8 |S3         >f8       int32   >f8     int32   >f8     int32         >f8 |S50             int32         >f8 |S50            int32 |S100                                                                
 2MASS.H                 16497.1 CCD       0.009           1   nan         0   nan         0 1.13535e-10 erg/s/cm2/AA         0 1.03036e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 2MASS.J                 12412.1 CCD      -0.021           1   nan         0   nan         0 3.11048e-10 erg/s/cm2/AA         0 1.59361e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 2MASS.KS                21909.2 CCD           0           1   nan         0   nan         0 4.27871e-11 erg/s/cm2/AA         0 6.68263e-21 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 ACSHRC.F220W            2255.32 CCD         nan           0   nan         0   nan         0 4.53976e-09 erg/s/cm2/AA         0 7.69904e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F250W            2715.77 CCD         nan           0   nan         0   nan         0 3.72224e-09 erg/s/cm2/AA         0  9.0493e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F330W            3362.73 CCD         nan           0   nan         0   nan         0 3.24002e-09 erg/s/cm2/AA         0 1.22087e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F344N            3433.77 CCD         nan           0   nan         0   nan         0 3.19801e-09 erg/s/cm2/AA         0 1.25767e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F435W            4311.02 CCD         nan           0   nan         0   nan         0 6.34395e-09 erg/s/cm2/AA         0 3.90888e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F475W            4775.76 CCD         nan           0   nan         0   nan         0 5.20376e-09 erg/s/cm2/AA         0 3.99348e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F502N            5022.89 CCD         nan           0   nan         0   nan         0 4.65992e-09 erg/s/cm2/AA         0 3.92133e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F550M            5579.84 CCD         nan           0   nan         0   nan         0 3.41888e-09 erg/s/cm2/AA         0   3.555e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F555W            5355.96 CCD         nan           0   nan         0   nan         0 3.81922e-09 erg/s/cm2/AA         0 3.68717e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F606W            5887.96 CCD         nan           0   nan         0   nan         0 2.91419e-09 erg/s/cm2/AA         0 3.40628e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F625W            6295.53 CCD         nan           0   nan         0   nan         0  2.3697e-09 erg/s/cm2/AA         0 3.11722e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F658N            6583.73 CCD         nan           0   nan         0   nan         0 1.77539e-09 erg/s/cm2/AA         0  2.5677e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F660N            6599.04 CCD         nan           0   nan         0   nan         0 1.93351e-09 erg/s/cm2/AA         0 2.80836e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F775W            7665.09 CCD         nan           0   nan         0   nan         0 1.30147e-09 erg/s/cm2/AA         0 2.54134e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F814W            8115.33 CCD         nan           0   nan         0   nan         0 1.11694e-09 erg/s/cm2/AA         0 2.45097e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F850LP           9145.23 CCD         nan           0   nan         0   nan         0  8.0509e-10 erg/s/cm2/AA         0 2.25021e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSHRC.F892N            8916.08 CCD         nan           0   nan         0   nan         0 8.73963e-10 erg/s/cm2/AA         0 2.31804e-20 erg/s/cm2/Hz        0 nan                                                                  
